source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,1104,Universidade do Porto - Faculdade de Economia,132,1111,444,132,109,178.0,181.2,180.1,182.4
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,56,395,98,56,23,155.2,160.1,157.0,161.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,1308,Universidade da Madeira - Faculdade de Ciências Sociais,55,204,111,55,48,136.3,152.3,148.2,155.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,168,1519,243,170,32,159.5,162.7,160.6,164.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3043,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,80,266,59,80,43,126.6,131.8,120.6,137.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,35,105,5,22,5,108.5,126.5,118.0,131.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3065,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,40,286,30,42,8,132.5,138.8,127.9,144.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3082,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",70,281,68,75,46,127.1,136.6,131.9,139.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3087,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",30,89,19,32,19,106.1,126.1,117.7,130.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3092,Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão,45,159,17,45,17,105.0,122.5,112.2,128.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,80,379,96,82,53,130.3,141.3,136.4,144.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3117,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,104,810,175,105,26,153.1,155.4,152.8,156.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão,45,85,13,25,13,110.0,124.1,116.4,128.2
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,3163,Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão,54,209,50,54,24,142.2,145.2,139.3,148.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,175,1366,381,175,79,168.0,167.7,166.7,168.7
