year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table
2025,Ciências Veterinárias,621,747,537,85,nota_cna25_1f_1.pdf,Quadro V
2025,Ciências da Vida,2304,1391,1684,621,nota_cna25_1f_1.pdf,Quadro V
2025,Desconhecido ou não especificado,61,25,59,2,nota_cna25_1f_1.pdf,Quadro V
2025,Direito,1821,3086,1779,46,nota_cna25_1f_1.pdf,Quadro V
2025,Engenharia e Técnicas Afins,10241,7572,7529,2716,nota_cna25_1f_1.pdf,Quadro V
2025,Formação de Professores/Formadores e Ciências da Educação,1694,1879,1594,106,nota_cna25_1f_1.pdf,Quadro V
2025,Humanidades,2913,2549,2666,266,nota_cna25_1f_1.pdf,Quadro V
2025,Indústrias Transformadoras,508,137,267,241,nota_cna25_1f_1.pdf,Quadro V
2025,Informação e Jornalismo,966,1241,877,89,nota_cna25_1f_1.pdf,Quadro V
2025,Informática,1900,931,1064,836,nota_cna25_1f_1.pdf,Quadro V
2025,Matemática e Estatística,767,639,657,110,nota_cna25_1f_1.pdf,Quadro V
2025,Proteção do Ambiente,439,100,164,275,nota_cna25_1f_1.pdf,Quadro V
2025,Saúde,7393,8178,6801,603,nota_cna25_1f_1.pdf,Quadro V
2025,Serviços Pessoais,3151,1559,1820,1333,nota_cna25_1f_1.pdf,Quadro V
2025,Serviços Sociais,1085,419,638,447,nota_cna25_1f_1.pdf,Quadro V
2025,Serviços de Segurança,40,5,21,19,nota_cna25_1f_1.pdf,Quadro V
2025,Serviços de Transporte,31,30,31,0,nota_cna25_1f_1.pdf,Quadro V
2026,"Agricultura, Silvicultura e Pescas",713,216,307,406,nota_cna26_1f_2.pdf,Quadro V
2026,Arquitectura e Construção,1752,2045,1499,259,nota_cna26_1f_2.pdf,Quadro V
2026,Artes,3822,4376,3593,272,nota_cna26_1f_2.pdf,Quadro V
2026,Ciências Empresariais,7869,9899,7282,676,nota_cna26_1f_2.pdf,Quadro V
2026,Ciências Físicas,1075,561,773,305,nota_cna26_1f_2.pdf,Quadro V
2026,Ciências Sociais e do Comportamento,4459,6453,4324,180,nota_cna26_1f_2.pdf,Quadro V
2026,Ciências Veterinárias,603,876,552,55,nota_cna26_1f_2.pdf,Quadro V
2026,Ciências da Vida,2286,1843,2000,293,nota_cna26_1f_2.pdf,Quadro V
2026,Desconhecido ou não especificado,61,70,62,0,nota_cna26_1f_2.pdf,Quadro V
2026,Direito,1848,3858,1838,26,nota_cna26_1f_2.pdf,Quadro V
2026,Engenharia e Técnicas Afins,10548,8790,8557,1997,nota_cna26_1f_2.pdf,Quadro V
2026,Formação de Professores/Formadores e Ciências da Educação,1845,1936,1755,104,nota_cna26_1f_2.pdf,Quadro V
2026,Humanidades,2974,2822,2902,134,nota_cna26_1f_2.pdf,Quadro V
2026,Indústrias Transformadoras,522,115,256,266,nota_cna26_1f_2.pdf,Quadro V
2026,Informação e Jornalismo,965,1546,964,12,nota_cna26_1f_2.pdf,Quadro V
2026,Informática,1693,961,1312,383,nota_cna26_1f_2.pdf,Quadro V
2026,Matemática e Estatística,854,788,784,71,nota_cna26_1f_2.pdf,Quadro V
2026,Protecção do Ambiente,470,144,302,170,nota_cna26_1f_2.pdf,Quadro V
2026,Saúde,7579,9745,7340,276,nota_cna26_1f_2.pdf,Quadro V
2026,Serviços Pessoais,3179,2534,2583,629,nota_cna26_1f_2.pdf,Quadro V
2026,Serviços Sociais,1045,859,955,110,nota_cna26_1f_2.pdf,Quadro V
2026,Serviços de Segurança,35,16,20,15,nota_cna26_1f_2.pdf,Quadro V
2026,Serviços de Transporte,31,60,31,0,nota_cna26_1f_2.pdf,Quadro V
